Job,Company,Location,Status,Date
xaas project manager customer services transformation,Deutsche Bank,Bucharest,Actively Hiring,2023-10-23
financial reporting analyst consolidations,Garrett - Advancing Motion,Bucharest,Actively Hiring,2023-11-18
financial controller,Siemens Energy,Bucharest,Actively Hiring,2023-11-20
finance manager,Purem by Eberspächer,Oradea,Be an early applicant,2023-11-20
junior finance controller food beverage industry onsite,Antal International,Bucharest,Be an early applicant,2023-08-24
general accountant,SLB,Bucharest,Be an early applicant,2023-11-21
accountant ronmonth,Voxility,Bucharest Metropolitan Area,Actively Hiring,2023-11-01
financial analyst,Siemens Energy,Bucharest,Actively Hiring,2023-11-20
product manager,Arctic,Bucharest,Actively Hiring,2023-11-15
junior finance controller food beverage industry,Antal International,Bucharest,Be an early applicant,2023-07-25
senior accountant,BNP Paribas Personal Finance,Bucharest,Actively Hiring,2023-11-08
corporate credit analyst,First Bank SA,Bucharest,Actively Hiring,2023-11-15
financial controller,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-09-23
controller,HELLA,Timiş,Actively Hiring,2023-11-08
junior accountant,Adecco,Bucharest,Actively Hiring,2023-10-25
legal counsel romania,MYTILINEOS S.A.,Bucharest,Actively Hiring,2023-09-23
business consultant human capital management,TotalSoft,Bucharest,Not specified,2023-07-25
ia internal audit manager,MAS PLC,Bucharest Metropolitan Area,Be an early applicant,2023-11-15
financial controller,Quipu GmbH,Bucharest Metropolitan Area,Actively Hiring,2023-11-08
jr controlling reporting officer,Hipo.ro Jobs,Otopeni,Be an early applicant,2023-11-01
junior accountant cities ro,Cegeka,Romania,Actively Hiring,2023-11-21
financial planning analyst,RSight®,Cluj-Napoca Metropolitan Area,Actively Hiring,2023-11-15
key account manager,Unilever,Bucharest,Actively Hiring,2023-11-19
risk analyst credit control validation department,Alpha Bank Romania,Bucharest,Actively Hiring,2023-11-15
financial analyst onsite bucharest,Antal International,Bucharest,Actively Hiring,2023-10-23
director accounting,Mood Media,Bucharest,Be an early applicant,2023-11-19
billing specialist,Hootsuite,Bucharest,Not specified,2023-11-08
interim managing director mfd romania,Morgan Philips Group,Piteşti,Be an early applicant,2023-10-23
senior plant finance manager,Procter & Gamble,Prahova,Actively Hiring,2023-11-15
sr expert fsc australasia europe,OMV Petrom,Bucharest,Be an early applicant,2023-11-21
hr analyst reporting analytics,The Goodyear Tire & Rubber Company,Bucharest,Be an early applicant,2023-11-20
financial analyst,Canonical,Bucharest,Not specified,2023-11-08
finance manager,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-08
finance business partner,Vodafone,Bucharest,Be an early applicant,2023-10-23
development director romania,KALE Recruitment,Bucharest,Not specified,2023-10-25
senior cluster financial controller,DB Schenker,Bucharest,Actively Hiring,2023-11-18
accounts payable accounts receivable specialist,Yellow Tree Group | Real Estate,Bucharest Metropolitan Area,Actively Hiring,2023-11-18
corporate finance manager,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
relationship manager corporate banking,UniCredit Bank Romania,Bacău,Be an early applicant,2023-11-19
project portfolio manager,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
senior auditor,MetLife,Bucharest,Actively Hiring,2023-11-01
senior financial controller,Softelligence,Bucharest,Actively Hiring,2023-11-15
senior financial specialist,Coral Travel Romania,Bucharest,Actively Hiring,2023-11-08
senior accountant,PwC Romania,Bucharest,Actively Hiring,2023-10-23
finance manager,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-01
junior cost controller,ALBALACT,Bucharest,Be an early applicant,2023-10-23
chief administrative officer ceo,Emma – The Sleep Company,Bucharest,Not specified,2023-09-23
senior business consultant financial solutions implementation,TotalSoft,Bucharest,Not specified,2023-07-25
financial controller,Atos,Timişoara,Actively Hiring,2023-11-18
finance manager onsite,Antal International,Bucharest,Actively Hiring,2023-10-25
finance analyst,Mambu,Romania,Not specified,2023-11-08
erp consultant,SoftOne Technologies S.A.,Bucharest,Not specified,2023-08-24
financial controller france belgium luxembourg,RWS Group,Cluj-Napoca,Be an early applicant,2023-11-15
general ledger english,WNS Global Services,Bucharest,Be an early applicant,2023-11-15
