Job,Company,Location,Status,Date
sustainability consultant esg,PwC Romania,Bucharest,Actively Hiring,2023-11-21
cost accounting analyst,"Cameron, a Schlumberger company",Bucharest,Be an early applicant,2023-10-23
finance level controller,Societe Generale Global Solution Centre Romania,Bucharest,Be an early applicant,2023-10-23
oracle logistic consultant bi resource,Unitask Group,Romania,Be an early applicant,2023-10-23
team assistant rd fmdiv,Infineon Technologies,Bucharest,Be an early applicant,2023-10-28
financial accountant onsite,Antal International,Alba Iulia,Be an early applicant,2023-07-25
pmo lead,Deutsche Bank,Bucharest,Actively Hiring,2023-11-15
senior revenue recognition specialist,PTC,Bucharest,Actively Hiring,2023-11-08
senior business intelligence developer ing hubs ro,ING Hubs Romania,Bucharest,Actively Hiring,2023-11-15
fixed assets accounting analyst,SLB,Bucharest,Actively Hiring,2023-10-23
manager people success emea,BlackLine,Bucharest,Actively Hiring,2023-11-19
financial reporting analyst,Societe Generale Global Solution Centre Romania,Bucharest,Be an early applicant,2023-09-23
ar services head romania,Sanofi,Bucharest,Not specified,2023-09-23
business risk manager,Revolut,Romania,Actively Hiring,2023-11-19
claims officer,Allianz Trade in Romania,Bucharest,Not specified,2023-11-15
fixed assets analyst,Siemens Energy,Bucharest,Be an early applicant,2023-11-21
commercial project controller,Siemens Energy,Bucharest,Be an early applicant,2023-11-15
junior financial controller,Gi Group,Ploieşti,Be an early applicant,2023-11-19
senior consultant,Expense Reduction Analysts – EMEA,Bucharest,Actively Hiring,2023-11-17
risk assurance services senior internal auditor,PwC Romania,Bucharest,Actively Hiring,2023-11-15
operations manager record report,Molson Coors GBS,Bucharest,Not specified,2023-11-20
quality assurance tester,Vitamin Software,Bucharest,Actively Hiring,2023-11-19
sap fico senior consultant,BearingPoint,Romania,Be an early applicant,2023-11-08
senior accountantassociate,Antal International,Bucharest,Be an early applicant,2023-10-25
senior cluster financial controller,DB Schenker,Bucharest,Be an early applicant,2023-11-19
senior digital information auditor,UniCredit Bank Romania,Bucharest,Be an early applicant,2023-11-15
information risk officer sox general controls testing ing hubs romania,ING Hubs Romania,Bucharest Metropolitan Area,Actively Hiring,2023-11-01
senior financial controllerdigital services,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-25
fpa specialist,The Goodyear Tire & Rubber Company,Bucharest,Be an early applicant,2023-11-15
financial analyst ii fg,DXC Technology,Bucharest,Be an early applicant,2023-10-25
revenue accountant,Canonical,Timişoara,Be an early applicant,2023-11-21
operations manager digital marketing agency,White Light Digital Marketing,Romania,Not specified,2023-11-08
general ledger accountant,BAT,Bucharest,Actively Hiring,2023-11-15
accounts receivables accountant,Emma – The Sleep Company,Bucharest,Be an early applicant,2023-10-25
accounts payable officer fmx,Mantu,Bucharest,Be an early applicant,2023-11-08
executive director finance trilogy remote year usd,Crossover,Bucharest,Be an early applicant,2023-11-21
business intelligence manager ring,Ring,Timisoara Metropolitan Area,Be an early applicant,2023-11-08
team leader cash bank,Siemens Energy,Bucharest,Actively Hiring,2023-11-15
accounting supervisor,A.P. Moller - Maersk,Constanţa,Be an early applicant,2023-11-08
client account manager focused data fryar,Human Direct,Cluj-Napoca,Be an early applicant,2023-10-25
finance transformation process analyst,Worldline,Bucharest,Actively Hiring,2023-11-19
junior user acquisition specialist meta,Pearson,Braşov,Not specified,2023-08-24
amazon brand manager,ScaleJet | eCommerce HR agency,Bucharest,Be an early applicant,2023-11-01
internship location controller,Hipo.ro Jobs,Arad,Be an early applicant,2023-10-23
product analyst,Finastra,Bucharest,Actively Hiring,2023-11-08
payroll accountant,Bolt,Bucharest,Be an early applicant,2023-11-20
auditor intern senior,Smithfield Romania,Timişoara,Be an early applicant,2023-11-01
senior indirect buyer french,Alstom,Cluj-Napoca,Be an early applicant,2023-11-17
pro fin intercompany service charging,OMV Petrom,Bucharest,Be an early applicant,2023-11-21
player engagement account manager,Keywords Studios,Bucharest,Actively Hiring,2023-08-24
senior internal auditor operations,Worldline,Bucharest,Actively Hiring,2023-11-08
senior treasury accountant,Siemens Energy,Bucharest Metropolitan Area,Be an early applicant,2023-11-15
analyste kyu cdd year,Societe Generale Global Solution Centre Romania,Bucharest,Actively Hiring,2023-11-08
jr accounts payable german timisoara,Wipro,Timişoara,Be an early applicant,2023-11-08
senior cards analyst,Libra Internet Bank,Bucharest Metropolitan Area,Actively Hiring,2023-11-08
manager de produse corporate senior,BRD - Groupe Societe Generale,Bucharest,Actively Hiring,2023-11-01
manager de produse corporate senior,BRD - Groupe Societe Generale,Bucharest,Be an early applicant,2023-09-23
senior sales executive hunter,Mokka Romania,Bucharest,Not specified,2023-11-01
senior financial auditor,Antal International,Bucharest,Be an early applicant,2023-04-26
parttime work home photo collector anywhere europe,TransPerfect,Botoşani,Be an early applicant,2023-11-18
general ledger accountant,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-08
account manager contracting recruitment,Hays,Bucharest,Actively Hiring,2023-11-01
junior accounts payable specialist turkish clujnapoca,Foundever,Cluj-Napoca Metropolitan Area,Be an early applicant,2023-11-15
cost accountant,Bekaert,Slatina,Be an early applicant,2023-10-23
lead java developer,Deutsche Bank,Bucharest,Be an early applicant,2023-11-08
commercial project manager,Siemens Energy,Bucharest,Actively Hiring,2023-11-15
credit analyst,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
commercial business analyst,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
accounting reporting specialist fmd,SIG Group,Cluj-Napoca,Be an early applicant,2023-10-23
financial business controller ilfov,Adecco,Ilfov,Be an early applicant,2023-11-15
claims officer,Allianz Trade in Romania,Bucharest,Not specified,2023-11-08
project manager sap shana,Bosch Romania,Timişoara,Actively Hiring,2023-11-01
channel finance specialist english,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-08-24
internal control specialist,LeasePlan,Bucharest,Be an early applicant,2023-11-18
procure pay officer,Allianz Trade in Romania,Romania,Not specified,2023-11-08
id graduate recruitment juniors tax,KPMG Romania,Bucharest,Not specified,2023-07-25
accounts payable specialist english,Emerson,Cluj-Napoca,Be an early applicant,2023-11-15
senior accountant romania,Glovo,Bucharest,Be an early applicant,2023-11-15
financial accountant production industry onsite,Antal International,Tîrgu Jiu,Be an early applicant,2023-08-24
treasury analyst,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
pricing analytics business analyst,HP,Bucharest,Not specified,2023-11-17
general ledger accountant,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-15
financial cost estimation analyst,Hipo.ro Jobs,Bucharest Metropolitan Area,Be an early applicant,2023-11-01
key account manager modern trade bucharest,INTERBRANDS ORBICO,Bucharest,Be an early applicant,2023-11-01
senior analyst accounts receivable,Siemens Energy,Bucharest,Actively Hiring,2023-11-15
professional fin ip service delivery,OMV Petrom,Bucharest,Actively Hiring,2023-10-23
economist,Hipo.ro Jobs,Mioveni,Be an early applicant,2023-07-25
senior analyst strategy,Vodafone,Bucharest,Actively Hiring,2023-08-24
senior treasury analyst,888Sparkware,Bucharest,Be an early applicant,2023-08-24
risk analyst,Dentons,Bucharest,Actively Hiring,2023-07-25
senior java developer,Deutsche Bank,Bucharest Metropolitan Area,Be an early applicant,2023-11-08
senior sap fiaa consultant,BearingPoint,Romania,Actively Hiring,2023-11-01
actuarial analyst,Allianz Services,Bucharest,Be an early applicant,2023-09-23
project accountant,Energy Jobline,Bucharest,Be an early applicant,2023-10-23
general ledger associate italian preferred,E.ON,Cluj-Napoca,Be an early applicant,2023-11-19
senior buyer,Endava,Bucharest,Actively Hiring,2023-11-08
finance business analyst,UiPath,Bucharest,Actively Hiring,2023-11-16
client service specialist english,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-08-24
parttime work home photo collector anywhere europe,TransPerfect,Satu Mare,Actively Hiring,2023-11-18
accountant sap,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-09-23
business management senior associate,LSEG (London Stock Exchange Group),Bucharest,Actively Hiring,2023-11-18
director commercial analytics technology,Honeywell,Bucharest,Actively Hiring,2023-11-15
dynamics business central consultant,LINKSOFT,Bucharest,Actively Hiring,2023-08-24
senior accountant,Antal International,Bucharest,Be an early applicant,2023-10-23
accounts payable specialist english,Emerson,Cluj-Napoca,Be an early applicant,2023-11-21
business analyst,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
accounts payable specialist,Hipo.ro Jobs,Timisoara Metropolitan Area,Be an early applicant,2023-10-23
executive compensation manager,Revolut,Romania,Actively Hiring,2023-10-28
senior internal auditor,Vodafone,Bucharest,Be an early applicant,2023-10-25
finance manager mileage,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-20
assistant finance bp financial controller,Versuni,Orăștie,Be an early applicant,2023-11-01
business compliance manager financial promotions,Revolut,Romania,Actively Hiring,2023-11-08
parttime work home photo collector anywhere europe,TransPerfect,Piatra Neamţ,Actively Hiring,2023-11-18
junior ocean pricing analyst,DB Schenker,Bucharest,Actively Hiring,2023-11-19
rtr finance business partner controller,WhiteCrow Research,Bucharest,Not specified,2023-08-24
general ledger junior accountant english,DB Schenker,Bucharest,Be an early applicant,2023-11-19
assistant entity controllerbusiness analyst hybrid onsite days week days work home,Honeywell,Bucharest,Be an early applicant,2023-11-18
costoms logistics agent,Damen,Mangalia,Be an early applicant,2023-10-28
project manager,OLIVER Agency,Bucharest,Actively Hiring,2023-11-18
senior performance controller,Siemens Energy,Bucharest,Actively Hiring,2023-11-15
senior accounting consultant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-08-24
senior accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
business analyst,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
channel reporting analyst,Honeywell,Bucharest,Actively Hiring,2023-10-28
expert fin ip service delivery,OMV Petrom,Bucharest,Actively Hiring,2023-11-01
oracle fusion finance senior consultant,PwC Romania,Bucharest,Be an early applicant,2023-11-19
security risk compliance analyst,Lugera The People Republic Romania,Bucharest,Actively Hiring,2023-11-20
controller reporting mts france,Worldline,Bucharest,Be an early applicant,2023-11-19
intercompany accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-04-26
auditor senior,Contexpert,Bucharest,Be an early applicant,2023-11-08
team leader procure pay,Allianz Trade in Romania,Romania,Not specified,2023-03-27
supply chain method tools engineer,Alstom,Cluj-Napoca,Actively Hiring,2023-11-19
eemea asset manager,Stryker,Bucharest,Be an early applicant,2023-09-23
ar accountant english,DB Schenker,Bucharest,Be an early applicant,2023-10-28
parttime work home photo collector anywhere europe,TransPerfect,Turda,Actively Hiring,2023-11-18
java developer belgium team,BNP Paribas Personal Finance,Bucharest,Actively Hiring,2023-11-15
financial accountant production industry onsite,Antal International,Alba Iulia,Be an early applicant,2023-08-24
invoice cash specialist french remote,Genpact,Romania,Actively Hiring,2023-11-08
strategic account manager groceries bucharest theyshehe,Glovo,Bucharest,Not specified,2023-11-08
treasury reporting analyst,Hipo.ro Jobs,Timisoara Metropolitan Area,Be an early applicant,2023-10-23
fpa analyst,The Goodyear Tire & Rubber Company,Bucharest,Be an early applicant,2023-11-21
recruitment sourcer business,Revolut,Romania,Actively Hiring,2023-11-16
senior information technology recruitment consultant,Hays,Bucharest,Be an early applicant,2023-11-20
business intelligence administrator,Adobe,Bucharest,Actively Hiring,2023-11-15
senior associate corporate finance advisory,Deloitte,Bucharest,Actively Hiring,2023-11-08
assistant dean school business position requires relocation kuwait,"American International University, Kuwait",Bucharest,Be an early applicant,2023-11-08
senior business analyst misfinancial reporting,Luxoft,Bucharest Metropolitan Area,Be an early applicant,2023-11-15
internal external auditor,EY,Bucharest,Actively Hiring,2023-11-15
payment specialist,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-08-24
parttime work home photo collector anywhere europe,TransPerfect,Galaţi,Actively Hiring,2023-11-18
invoicing collection specialist,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-08-24
parttime work home photo collector anywhere europe,TransPerfect,Suceava,Actively Hiring,2023-11-18
product manager sales data warehouse,Bitdefender,Bucharest,Not specified,2023-11-18
collection officer,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
parttime work home photo collector anywhere europe,TransPerfect,Bistriţa,Be an early applicant,2023-11-18
parttime work home photo collector anywhere europe,TransPerfect,Braşov,Actively Hiring,2023-11-18
senior general ledger accountant,Coty,Bucharest,Be an early applicant,2023-11-15
senior associate valuation modeling,Deloitte,Bucharest,Actively Hiring,2023-11-08
senior business analyst misfinancial reporting bucharest,Luxoft,Bucharest Metropolitan Area,Be an early applicant,2023-11-08
junior accountant,Adecco,Cluj-Napoca,Actively Hiring,2023-11-01
senior accountant,Hipo.ro Jobs,Curtea de Argeş,Be an early applicant,2023-10-25
marketing assistantbusiness administrative,Gilead Sciences,Bucharest,Actively Hiring,2023-11-19
sap project manager,Gedeon Richter România S.A.,Târgu Mureş,Be an early applicant,2023-11-08
senior sap fi consultant focus statutory accounting taxation transfer pricing,BearingPoint,Romania,Actively Hiring,2023-11-15
sap fico consultant,JSS ASSOCIATES,Bucharest,Be an early applicant,2023-11-21
accounting analyst french,Societe Generale,Bucharest,Be an early applicant,2023-11-01
senior auditor,TPA Romania,Bucharest,Be an early applicant,2023-10-23
accountant fmx,Mantu,Bucharest,Be an early applicant,2023-11-08
financial controlling expert french,Societe Generale,Bucharest,Be an early applicant,2023-04-26
credit analyst,The Goodyear Tire & Rubber Company,Bucharest,Actively Hiring,2023-11-15
client advisor bucuresti,OTP Bank Romania,Bucharest,Actively Hiring,2023-11-01
senior accounting consultant,EY,Bucharest,Actively Hiring,2023-11-08
strategy forecasting manager,Garrett - Advancing Motion,Bucharest,Actively Hiring,2023-09-23
senior business analyst,Luxoft,Bucharest,Be an early applicant,2023-11-01
global lead secretariat,LSEG (London Stock Exchange Group),Bucharest,Actively Hiring,2023-11-08
tech business relationship manager,Vodafone,Bucharest,Actively Hiring,2023-05-26
finance transportation analyst,Kellanova,Bucharest,Actively Hiring,2023-11-20
product marketing manager,Pearson,Romania,Not specified,2023-11-08
sef proiect performanta financiara,Hipo.ro Jobs,Mioveni,Be an early applicant,2023-10-23
parttime work home photo collector anywhere europe,TransPerfect,Buzău,Be an early applicant,2023-11-18
cash application analyst,BAT,Bucharest,Be an early applicant,2023-11-19
profitability sales analyst bi specialist,Danone,Bucharest,Actively Hiring,2023-09-23
