Title,JobTitle(Grouped),Position,Company,Location,City,HiringStatus,Date,Num1,Time,Num2,Days,DateSince,DateSinceFormated,,1 day,
Senior Manager Accounts Payable Europe & New Markets,Accounts Payable Manager,Senior,BeiGene,Romania,Not specified,Not specified,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Controlling Manager,Controlling Manager,Head,Smart HR Romania,"Cluj, Romania",Cluj Napoca,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Group Product Cost Controller,Financial Controller,Not specified,Preh Romania,"Ghimbav, Braşov, Romania",Ghimbav,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Financial Controller - on site - Cluj Napoca,Financial Controller ,Not specified,Antal International,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Jr. Accounts Assistant,Accounts Assistant,Junior,POTENTIAM LTD,Iasi Metropolitan Area,Iaşi,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Bookkeeper,Bookkeeper,Not specified,ADEL INVEST,"Bucharest, Romania",Bucharest,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Assistant Comptable,Assistant Comptable,Not specified,Societe Generale Global Solution Centre Romania,"Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Finance Business Partner Commercial,Finance Business Partner,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Senior Accountant,Accountant,Senior,Edenred Romania,"Bucharest, Romania",Bucharest,Not specified,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
(Junior) Chief of Staff,Chief of Staff,Junior,Emma – The Sleep Company,"Bucharest, Bucharest, Romania",Bucharest,Not specified,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Customer Services XaaS Governance Lead,Customer Services Lead,Head,Deutsche Bank,"Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Financial Controller,Financial Controller,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Senior Associate Capital Markets and Accounting Advisory Services - FS,Capital Markets and Accounting Advisory Associate ,Senior,PwC Romania,"Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Auditor IT,Auditor ,Not specified,Banca Transilvania,Bucharest Metropolitan Area,Bucharest,Actively Hiring,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Risk Analyst,Risk Analyst,Not specified,BRD - Groupe Societe Generale,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,6 months ago,6,month,30,180.00,45075.00,5/29/2023,,,
GL Accountant with English,Accountant,Not specified,Coface,"Bucharest, Romania",Bucharest,Actively Hiring,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
Global Head of Sales - Finance Services Industry,Global Head of Sales ,Head,Canonical,"Bucharest, Bucharest, Romania",Bucharest,Not specified,5 months ago,5,month,30,150.00,45105.00,6/28/2023,,,
Financial Controller,Financial Controller,Not specified,GatedTalent - Connecting Top Executive Search Firms And Executives,Bucharest Metropolitan Area,Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Data and Reporting Specialist in Excel,Data and Reporting Specialist,Senior,Samsung Electronics Romania,"Bucharest, Bucharest, Romania",Bucharest,Not specified,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Accountant - middle level,Accountant ,Senior,GABTEO HR,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Business analyst,Financial Analyst,Not specified,Luxoft,Bucharest Metropolitan Area,Bucharest,Actively Hiring,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Chief of Staff -KYU,Chief of Staff ,Head,Societe Generale,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Senior Accountant,Accountant ,Senior,ManpowerGroup,"Curtea de Argeş, Argeş, Romania",Curtea de Argeş,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Credit Risk & IFRS 9 Manager,Risk Manager,Head,PwC Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Sales Senior- Financial Markets,Sales Specialist,Senior,Raiffeisen Bank Romania,"Bucharest, Romania",Bucharest,Be an early applicant,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Financial Controller,Financial Controller,Not specified,Worldline,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Finance & Accounting Manager,Finance and Accounting Manager,Head,Undelucram.ro,"Bucharest, Bucharest, Romania",Bucharest,Not specified,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Senior Accountant,Accountant,Senior,Adecco,"Bucharest, Romania",Bucharest,Actively Hiring,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
Financial Controller,Financial Controller,Not specified,FAIST Mekatronic,"Oradea, Bihor, Romania",Oradea,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
"Commercial Director Romania & East Europe - Gas Trading Division - on site, Bucharest",Commercial Director ,Head,Antal International,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Customer Success Manager for Leading E-commerce Education Program RO,Customer Success Manager,Head,SellerPlex,Romania,Not specified,Not specified,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Financial Advisor,Financial Advisor,Not specified,ASIROM - Vienna Insurance Group,"Bucharest, Romania",Bucharest,Be an early applicant,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
Sales Analyst,Sales Analyst,Not specified,NALA Natural Cosmetics,Romania,Not specified,Actively Hiring,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Finance Analytics Expert,Financial Analyst,Senior,UiPath,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Junior Accountant,Accountant,Junior,Ness Digital Engineering,Timisoara Metropolitan Area,Timişoara,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Corporate Financial Controller,Financial Controller,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Auditor Junior,Auditor ,Junior,Contexpert,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Trade Marketing & Distribution Manager,Trade Marketing and Distribution Manager,Head,Landewyck,Romania,Not specified,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Senior Group Internal Auditor,Auditor,Senior,Coface,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Junior Accountant,Accountant,Junior,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Accounting Consultant,Financial Consultant,Not specified,EY,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Office/Executive Assistant,Executive Assistant,Junior,Grant Thornton Romania,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Purchasing Specialist,Purchasing Specialist,Senior,ASEE,Bucharest Metropolitan Area,Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Legal and Compliance Officer,Legal and Compliance Officer,Not specified,XP,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Accounting and Reporting Specialist (f/m/d),Accounting Specialist ,Senior,SIG Group,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Financial Advisor for Transaction Services,Financial Advisor ,Not specified,PwC Romania,"Bucharest, Romania",Bucharest,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Global Head of Sales - Finance Services Industry,Global Head of Sales ,Head,Canonical,"Timişoara, Timiş, Romania",Timişoara,Be an early applicant,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Card Acquiring Manager,Card Acquiring Manager,Head,Garanti BBVA Romania,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Junior Media Planner,Media Planner,Junior,GroupM,Bucharest Metropolitan Area,Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Finance Officer - Operations Romania,Finance Officer ,Not specified,World Vision,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,7 months ago,7,month,30,210.00,45045.00,4/29/2023,,,
Junior Business Controller,Financial Controller,Junior,DB Schenker,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Senior Consultant People Analytics,Financial Consultant People Analytics,Senior,Vodafone,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
KYC Advisory Analyst Wholesale Banking with French,Advisory Analyst ,Not specified,Societe Generale Global Solution Centre Romania,Bucharest Metropolitan Area,Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Credit Controller,Financial Controller,Not specified,Gilbarco Veeder-Root,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Financial Controller,Financial Controller,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Senior Financial Analyst,Financial Analyst,Senior,Siemens Energy,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,17 hours ago,17,hour,0.0416667,0.71,45254.29,11/24/2023,,,
DATA ANALYST - FINANCE,Data Analyst,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Technical Recruiter,Technical Recruiter,Not specified,Faptic Technology,Romania,Not specified,Not specified,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Software Business Analyst,Software Financial Analyst,Not specified,MAS PLC,"Bucharest, Romania",Bucharest,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
"Finance and Administration Coordinator, Romania",Finance and Administration Coordinator,Head,HIAS,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Internal Auditor,Auditor,Not specified,Braze,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Operations Specialist - Project Based,Operations Specialist ,Senior,Adecco,Romania,Not specified,Actively Hiring,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Global Real Estate Manager,Global Real Estate Manager,Head,LeasePlan,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,3 months ago,3,month,30,90.00,45165.00,8/27/2023,,,
Accounting Controller Assistant,Financial Controller Assistant,Junior,Marsh McLennan,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Junior Controller,Financial Controller,Junior,Undelucram.ro,Timisoara Metropolitan Area,Timişoara,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
General Ledger - FREXL002,Accountant,Not specified,Human Direct,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Senior Financial Controller,Financial Controller,Senior,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Strategic & Operational ALM-Senior Associate,Strategic and Operational Associate,Senior,UniCredit Bank Romania,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Senior Internal Auditor - Risk Management,Auditor ,Senior,UniCredit Bank Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Senior Financial Analyst,Financial Analyst,Senior,BAT,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Financial Controller,Financial Controller,Not specified,Worldline,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Financial Accountant – Analyst,Financial Analyst ,Not specified,Accenture,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
M/A Deal Flow Analyst for Acquisitions Accelerator RO,Deal Flow Analyst ,Not specified,SellerPlex,Romania,Not specified,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Senior Group Internal Auditor,Auditor,Senior,Coface,"Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Risk Analyst – Risk Projects Unit,Risk Analyst ,Not specified,BRD - Groupe Societe Generale,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Managing Director (m/f/d) Romania,Managing Director ,Head,BayWa r.e. EMEA,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,3 months ago,3,month,30,90.00,45165.00,8/27/2023,,,
Accounting & Reporting Analyst (f/m/d),Accounting and Reporting Analyst ,Not specified,SIG Group,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
General Accountant with English,Accountant ,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
S/4HANA Finance Innovation Specialist,Finance Innovation Specialist,Senior,SAP Fioneer,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Payment Specialist,Payment Specialist,Senior,Adecco,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Principal Reporting Analyst,Principal Reporting Analyst,Not specified,PTC,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Regulatory Reporting Analyst,Regulatory Reporting Analyst,Not specified,Societe Generale Global Solution Centre Romania,"Bucharest, Romania",Bucharest,Be an early applicant,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Financial Analyst,Financial Analyst,Not specified,ARRISE powering Pragmatic Play,"Bucharest, Romania",Bucharest,Be an early applicant,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
M/A Deal Flow Analyst for Acquisitions Accelerator BU,Deal Flow Analyst ,Not specified,SellerPlex,Romania,Not specified,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
IFRS Specialist,IFRS Specialist,Senior,PwC Romania,"Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Trade Finance Professional,Trade Finance Professional,Senior,Euro Exim Bank,Romania,Not specified,Be an early applicant,6 days ago,6,day,1,6.00,45249.00,11/19/2023,,,
Treasury Reporting Analyst,Treasury Reporting Analyst,Not specified,888Sparkware,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 months ago,3,month,30,90.00,45165.00,8/27/2023,,,
Senior Engineer,Engineer,Senior,Deutsche Bank,"Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Sr Accountant,Accountant,Senior,MetaWealth™,"Bucharest, Romania",Bucharest,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Accounts Receivable with English,Accounts Receivable ,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Business Development Manager,Business Development Manager,Head,Hexing Group,"Timişoara, Timiş, Romania",Timişoara,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
IT & Function Controller,Financial Controller,Not specified,Worldline,"Bucharest, Romania",Bucharest,Be an early applicant,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
Manager - Financial Services Audit,Financial Services Audit Manager,Head,PwC Romania,"Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Senior Auditor,Auditor,Senior,Mazars in Romania,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Project Finance Accountant,Finance Accountant,Not specified,Ericsson,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Chief Accountant,Accountant,Head,Professional HR Agency,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Payment Flows Services Specialist,Payment Flows Services Specialist,Senior,Worldline,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Deputy Manager – Audit Financial Services,Deputy Audit Manager,Head,PwC Romania,"Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Junior Financial Controller,Financial Controller,Junior,Worldline,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Financial Accountant – Senior Analyst,Financial Analyst,Senior,Accenture,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Accounting & Tax Compliance Manager,Accounting and Tax Compliance Manager,Head,PwC Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Financial Controller,Financial Controller,Not specified,GEA Group,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Senior Commercial Controller,Financial Controller,Senior,Siemens Energy,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Local Regulatory Reporting Analyst,Local Regulatory Reporting Analyst,Not specified,Societe Generale Global Solution Centre Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Buyer Corporate Services,Corporate Services Buyer,Not specified,Alstom,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Accountant - Exciting Opportunity in Rapidly Expanding Romanian City!,Accountant ,Not specified,Antal International,"Alba Iulia, Alba, Romania",Alba Iulia,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Internal Control Analyst,Internal Control Analyst,Not specified,LeasePlan,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Financial Accountant SAP FI,Financial Accountant,Not specified,Kardex,Timisoara Metropolitan Area,Timisoara ,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Junior Accounts Payable Accountant,Accounts Payable ,Junior,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Manager Capital Markets and Accounting Advisory Services - FS,Capital Markets and Accounting Advisory Services Manager,Head,PwC Romania,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Manager Accounting Advisory Services (OMFP and IFRS),Accounting Advisory Services Manager,Head,PwC Romania,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Regional Sales Manager (Romania),Regional Sales Manager ,Head,OPSWAT,"Timişoara, Timiş, Romania",Timişoara,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Junior Accountant,Accountant,Junior,Impresa Pizzarotti & C. S.p.A.,"Bucharest, Romania",Bucharest,Not specified,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
IFRS Group Reporting Specialist,Reporting Specialist,Senior,MedLife SA,"Bucharest, Romania",Bucharest,Not specified,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Back Office Assistant B2B,B2B Back Office Assistant ,Junior,IHM Total Consult,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Data Protection and Privacy Specialist,Data Protection and Privacy Specialist,Senior,_VOIS,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Collections Analyst with French,Collections Analyst ,Not specified,Oracle,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Data Scientist (Risk),Data Scientist ,Not specified,Revolut,Romania,Not specified,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Senior Associate Accounting Advisory Services (OMFP and IFRS),Accounting Advisor,Senior,PwC Romania,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
RETAIL BANKING OFFICER CRAIOVA,Banking Officer,Not specified,First Bank SA,"Craiova, Dolj, Romania",Craiova,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Head of Finance Plant BUZIAS,Head of Finance,Head,Siemens,"Buziaș, Timiş, Romania",Buziaș,Be an early applicant,48 minutes ago,48,minutes,0.000694445,0.03,45254.97,11/24/2023,,,
Finance Accounting Specialist,Accounting Specialist,Senior,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
Specialist Middle Office Non Retail - BC Bucuresti Sud,Middle Office Specialist,Senior,BRD - Groupe Societe Generale,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Global Head of Sales - Finance Services Industry,Global Head of Sales ,Head,Canonical,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Billing Accountant,Billing Accountant,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Treasury Accounting Specialist,Treasury Accounting Specialist,Senior,BAT,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Regional Manager - Romania,Regional Manager ,Head,Tarfin,"Bacău, Bacău, Romania",Bacău,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Administrative Support Specialist,Administrative Support Specialist,Senior,Vertify,"Bucharest, Romania",Bucharest,Actively Hiring,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Manager- Audit and Assurance,Audit Manager,Head,PwC Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Interim Managing Director (m/f/d) Romania,Managing Director ,Head,Morgan Philips Group,Romania,Not specified,Actively Hiring,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Product Marketing Manager,Product Marketing Manager,Head,Tradeshift,"Bucharest, Bucharest, Romania",Bucharest,Not specified,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Project Manager,Project Manager,Head,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Project Development Manager,Project Development Manager,Head,Leap29,"Bucharest, Romania",Bucharest,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Financial Sales Consultant,Financial Consultant,Not specified,NN Group,Bucharest Metropolitan Area,Bucharest ,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
SENIOR OPERATIONAL RISK OFFICER,Operational Risk Officer,Senior,First Bank SA,"Bucharest, Romania",Bucharest,Be an early applicant,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
Senior Finance Analyst,Financial Analyst,Senior,Honeywell,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Financial Controller,Financial Controller,Not specified,Autoliv,"Braşov, Braşov, Romania",Braşov,Actively Hiring,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Senior Accountant,Accountant,Senior,North Bucharest Investments,"Bucharest, Romania",Bucharest,Be an early applicant,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
General Ledger Accountant,Accountant ,Not specified,"Cameron, a Schlumberger company","Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Power BI and Reporting Coordinator,Power BI and Reporting Coordinator,Head,Adecco,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Customer Data Analyst,Data Analyst,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Continuous Improvement Process Expert in Accounts Payables,Accounts Payable Expert,Senior,Bosch Romania,"Timişoara, Timiş, Romania",Timişoara,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Junior Consultant Transfer Pricing Controversy,Financial Consultant ,Junior,PwC Romania,"Bucharest, Romania",Bucharest,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Financial Accountant – Senior Analyst,Financial Analyst,Senior,Accenture,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Sales Support Analyst,Sales Support Analyst,Not specified,ALBALACT,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Cyber Security PMO (Execution Governance),Cyber Security PMO,Not specified,Deutsche Bank,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Financial Analyst,Financial Analyst,Not specified,Canonical,"Timişoara, Timiş, Romania",Timişoara,Not specified,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Contabil | Accountant,Accountant,Not specified,TPA Romania,"Bucharest, Bucharest, Romania",Bucharest,Not specified,3 months ago,3,month,30,90.00,45165.00,8/27/2023,,,
